13517,12603,3224,10413,5833
6752,6030,4746,4930,2914
102,999,12474,7752,91
1524,463,11652,1794,13273
1524,463,11652,1794,13273
11170,2218,10021,13133,8481
6304,9264,2860,7828,2937
4705,102,3588,91,13847
7430,2046,11446,532,2607
4700,1314,4257,14333,8486
102,7752,999,3168,12252
1907,4755,13857,5601,3459
11232,2695,2929,9695,5418
5530,6789,13366,8163,4824
9686,13909,3403,12804,8669
7960,4584,293,12942,10518
11801,5957,4304,11218,4676
3356,8082,4871,11292,5350
3168,4696,739,12474,7420
3168,4696,739,12474,7420
111,5049,3871,13844,174
11895,4950,10151,11355,10701
7496,11361,7752,999,1978
14282,10628,4537,13587,6888
14282,10628,4537,13587,6888
6108,1750,10167,10558,9091
3887,13748,1595,1014,12254
13847,1978,739,11441,5406
13589,3403,9686,1230,12177
6382,2671,2756,14341,13589
12547,12674,2342,7670,8630
3871,11205,9354,1577,4966
864,3687,1498,8815,467
6642,12397,5962,7580,9581
6642,12397,5962,7580,9581
4374,11530,14388,506,2024
1623,5882,10021,426,13302
1623,5882,10021,426,13302
12225,9624,11966,11564,7827
1007,3595,10715,9924,4145
11441,5406,7496,1266,13847
1109,14098,125,13524,11055
5700,10018,13927,12635,5747
7405,7016,1996,3938,8184
7405,7016,1996,3938,8184
5957,4676,11218,12397,3739
13374,5692,12416,7569,4522
13946,302,1434,8880,12456
12804,13522,1612,6830,9686
10505,14243,7093,5107,5301
10021,12265,14395,2202,469
10291,5878,10619,3658,273
14082,12618,4160,11847,5835
6047,9975,6846,8285,11694
7290,9141,8108,4019,11328
1230,1978,200,11361,7752
11898,8145,8359,14482,9150
6084,7911,11286,13755,13599
6221,8008,2435,514,9138
8445,4271,7645,4772,8014
2024,506,4237,13634,4374
12032,3003,5594,2858,11706
4379,8868,5224,11004,8916
11077,717,9208,11545,13261
7285,14282,14107,1989,1566
426,5962,1769,13104,5635
13175,5308,2415,8851,4565
6442,13501,11993,8904,552
12628,5046,10412,12510,35
5921,4374,9155,7528,9921
3356,13302,1421,3493,12491
13296,2854,4052,9886,1950
99,12419,3645,11387,6875
11361,91,978,10520,13761
12671,1523,11703,12910,8676
12671,1523,11703,12910,8676
5926,5637,2113,11637,12188
3690,758,8004,9144,6060
4407,13585,8668,7113,385
6922,6379,2058,8528,12022
12956,84,4191,2567,11302
5885,11876,6957,545,4653
4522,12416,1625,5692,9978
13812,8019,11668,8681,10376
13683,1943,10412,3231,8393
7569,5692,4522,12416,1625
9838,3988,7257,6883,3449
13270,4633,11216,4160,8432
9449,88,1794,4894,1092
4399,12806,212,3319,14511
9630,2266,13815,10250,11973
6293,5476,2931,12339,3795
2592,8624,2279,10535,6837
9265,4999,5105,7684,5248
8800,3772,2038,8286,920
8800,3772,2038,8286,920
5530,4824,13366,11789,6518
10151,12391,5331,1864,10701
528,11753,3700,5499,3668
11348,3356,5504,1442,547
13498,3082,4565,5308,8161
13527,9184,12875,13507,12506
4696,102,7526,999,1790
5562,115,10873,8247,11261
11432,4985,9433,14435,13254
11908,7581,7127,6965,4754
13998,9613,7526,88,12252
225,14028,9184,1265,6328
9183,12252,9613,1092,14375
10482,3516,1509,6129,2038
5957,14254,11218,4676,11805
3082,13498,2415,5308,8851
10078,10878,9199,13631,10785
8335,1988,6246,8694,8967
6084,7911,14093,11527,9187
12547,8630,10223,2342,12674
7526,8860,88,10532,4894
11496,1206,736,4775,6274
5388,9441,14485,790,1503
2474,6469,460,592,6418
7526,88,5558,9613,1092
1899,4009,12716,13007,9922
610,13665,3935,1893,7755
4465,916,8409,4963,13060
5916,4894,1794,7526,88
8318,9236,2141,1365,3563
1127,9657,9176,5959,13059
528,811,441,2492,1316
8140,10025,11006,5160,11924
13208,13270,1481,4160,610
13208,13270,1481,4160,610
249,9686,6884,3795,6472
7526,8115,88,4894,9613
7569,13374,10081,11459,8423
3273,3070,1409,7571,8966
13456,2963,2000,49,13686
13400,419,7888,3387,12672
9144,11189,9615,13314,8484
12503,1230,9686,5625,2853
6379,6922,2465,1014,11126
7752,12252,1092,7496,13847
8103,10138,14388,9155,8181
6469,9518,4605,592,6418
14492,102,739,5406,88
14031,14221,10467,8851,13498
12224,12236,9357,13646,6754
3871,4966,9354,5488,5049
7047,9686,6830,1230,3403
12474,7053,10976,13847,739
12474,7053,10976,13847,739
3419,3217,12301,3610,11189
12099,12511,1531,3663,7970
1343,11559,9993,6844,957
3356,4539,998,13854,11826
3356,4539,998,13854,11826
5704,5607,4399,10051,9485
4522,7569,1625,9617,11459
13212,10729,12321,2409,10411
13402,3166,4966,3871,5488
7878,8181,2024,13647,4374
2316,752,2759,6861,6480
7806,9354,7356,4966,8411
9686,6830,12601,6465,7064
2024,1309,8181,13634,506
7526,6259,4894,9613,14375
1242,6159,3186,5063,3927
3795,7821,13261,2931,6233
2853,9686,8669,13909,13266
6735,35,8815,5076,8683
11955,9363,7950,13668,1706
6524,11446,12717,13609,4929
4894,9895,12252,9613,1794
7752,5406,12252,4705,13083
3545,12260,13263,7288,4307
13175,2415,4565,8851,5308
13066,3629,4305,9583,6521
11936,3455,6749,7136,11173
12551,11629,12315,3528,11656
1899,4009,13151,12716,8880
1193,12789,12367,13831,13175
5137,3496,2133,4979,9971
5318,12224,9818,9486,4325
10554,4979,7992,3447,5276
13498,13175,2415,4565,5308
13809,7526,14375,9613,4894
13583,10839,7093,3252,5373
14411,5015,6244,7447,12706
547,11170,9271,10021,7266
3168,1978,739,7752,7053
3516,2587,607,3772,3582
5957,7966,11218,4676,14310
1179,6635,11901,14361,4250
7254,12320,1577,111,10191
5957,2887,11218,3496,11978
6731,1230,9686,5084,3403
4549,2858,11127,13660,13124
8439,3795,2619,2771,12544
7960,9760,12942,13938,4584
8181,506,9155,2024,4374
7266,14354,3777,6159,806
11459,9978,9155,2024,506
9147,9686,2931,6465,1084
13211,11279,2263,7567,6913
5232,3082,13175,4473,13498
1007,11424,14453,10026,1697
9518,3782,6469,460,5974
13456,13126,4150,425,13686
550,9021,5882,8815,7330
550,9021,5882,8815,7330
13909,9686,3813,6731,8818
2858,12956,12265,14395,84
12618,4160,14082,926,7151
6875,6448,11453,10306,7652
6379,6922,8725,4416,12796
84,8479,6163,9226,1010
1850,6703,10800,3052,5300
8219,1908,3013,2737,14305
6379,6922,4952,797,13640
4696,3168,13667,7496,11680
13498,13175,2415,5308,4565
3274,1645,1112,1302,9631
6469,5165,3782,592,8306
1309,7878,8957,8317,1653
10976,13667,12252,4500,2771
8803,10532,1092,14375,4894
12168,13010,1613,9903,6780
7911,6084,1638,10941,12523
1325,4593,6168,926,7755
10927,5905,7361,12507,12256
460,5974,592,1828,2474
2024,8181,506,13634,6863
3795,4466,6884,1430,4391
9072,6524,4929,532,11420
528,1282,12385,3632,9628
13402,9832,5488,111,7806
9783,1200,12741,12030,1646
4696,14150,7053,91,1092
7718,1130,12516,6267,12315
1625,12416,4374,4237,13374
5351,3082,7077,13175,4565
7137,13498,2415,4565,13175
102,9929,4705,2994,91
11973,8592,12315,10250,948
11051,11449,9760,7960,10462
9009,11446,5511,10703,6524
10027,4633,1325,9637,11847
3356,1416,6898,5635,4539
13668,8336,9199,13631,10785
4696,10976,3168,4812,1790
9978,506,9401,5692,2024
11973,610,13270,13815,14171
102,10976,7752,5406,4500
2024,13647,13634,10138,9155
4696,999,1092,5406,11680
1416,14243,9061,9315,1769
7405,3528,3063,7016,7357
208,12148,483,3729,14091
4696,11361,10520,2771,88
9725,11442,14060,3658,13526
3419,4071,12301,3610,11060
245,12583,390,8993,10371
4042,12169,5942,13503,5675
14492,1978,1092,739,11441
3690,12756,9144,3533,6802
11973,13815,12940,13297,521
10532,4696,11441,11257,7053
4929,7430,2046,10703,9009
5406,4696,12252,3168,4812
7911,6084,14357,6943,8628
518,2607,2309,6686,5618
1266,10976,7752,11361,4812
8168,14094,9042,3274,9056
6176,8019,41,3472,8681
12099,12511,2563,3663,7970
2823,354,6565,2683,12175
7152,10228,5869,10466,2023
11093,14434,662,7122,5319
5974,460,6469,592,2474
8061,11124,3325,9121,5750
610,7130,2936,2888,13716
610,7130,2936,2888,13716
610,7130,2936,2888,13716
7526,5492,88,8867,10532
4305,8598,5492,13976,10587
528,2477,13988,9647,11599
4626,3673,10777,11853,5979
528,8331,1183,5258,3954
5303,9561,4176,4195,12971
5303,9561,4176,4195,12971
9658,13302,7701,6187,3356
6780,13010,6883,9263,10159
5434,7014,9696,10094,2103
5434,7014,9696,10094,2103
5434,7014,9696,10094,2103
3168,4696,4919,1764,1266
3168,4696,4919,1764,1266
9709,11453,8390,9863,10306
13498,5308,13175,2415,8161
811,6060,8484,3474,11087
6106,5819,9346,11648,6791
3782,460,6469,12824,7459
1200,12656,6484,900,107
1309,13634,4237,13647,7878
2604,13542,7281,12583,11491
6922,6379,4281,9357,1140
3665,236,4828,5388,6324
2356,13076,9263,5183,11028
6731,9686,3180,2908,1230
6465,4625,9686,7279,7064
